r_s_over_r_env,m_eff_r_env,Delta_TM_match,B_TM
0.1500,0.3000,0.18674998,3.67993926e-04
0.1500,0.3640,0.18283678,3.71831843e-04
0.1500,0.4281,0.17900146,3.75667745e-04
0.1500,0.4921,0.17524531,3.79501279e-04
0.1500,0.5562,0.17156980,3.83332090e-04
0.1500,0.6202,0.16797656,3.87159824e-04
0.1500,0.6843,0.16446738,3.90984130e-04
0.1500,0.7483,0.16104419,3.94804652e-04
0.1500,0.8124,0.15770900,3.98621040e-04
0.1500,0.8764,0.15446395,4.02432941e-04
0.1500,0.9404,0.15131124,4.06240003e-04
0.1500,1.0045,0.14825314,4.10041874e-04
0.1500,1.0685,0.14529194,4.13838205e-04
0.1500,1.1326,0.14242995,4.17628643e-04
0.1500,1.1966,0.13966948,4.21412841e-04
0.1500,1.2607,0.13701280,4.25190447e-04
0.1500,1.3247,0.13446214,4.28961115e-04
0.1500,1.3888,0.13201965,4.32724495e-04
0.1500,1.4528,0.12968741,4.36480241e-04
0.1500,1.5169,0.12746736,4.40228005e-04
0.1500,1.5809,0.12536134,4.43967443e-04
0.1500,1.6449,0.12337103,4.47698208e-04
0.1500,1.7090,0.12149797,4.51419957e-04
0.1500,1.7730,0.11974351,4.55132346e-04
0.1500,1.8371,0.11810881,4.58835033e-04
0.1500,1.9011,0.11659486,4.62527675e-04
0.1500,1.9652,0.11520241,4.66209932e-04
0.1500,2.0292,0.11393201,4.69881465e-04
0.1500,2.0933,0.11278401,4.73541933e-04
0.1500,2.1573,0.11175852,4.77191000e-04
0.1500,2.2213,0.11085544,4.80828329e-04
0.1500,2.2854,0.11007442,4.84453584e-04
0.1500,2.3494,0.10941494,4.88066430e-04
0.1500,2.4135,0.10887622,4.91666535e-04
0.1500,2.4775,0.10845731,4.95253565e-04
0.1500,2.5416,0.10815704,4.98827189e-04
0.1500,2.6056,0.10797407,5.02387079e-04
0.1500,2.6697,0.10790687,5.05932905e-04
0.1500,2.7337,0.10795376,5.09464340e-04
0.1500,2.7978,0.10811292,5.12981059e-04
0.1500,2.8618,0.10838239,5.16482736e-04
0.1500,2.9258,0.10876011,5.19969049e-04
0.1500,2.9899,0.10924392,5.23439675e-04
0.1500,3.0539,0.10983161,5.26894295e-04
0.1500,3.1180,0.11052089,5.30332589e-04
0.1500,3.1820,0.11130947,5.33754241e-04
0.1500,3.2461,0.11219503,5.37158935e-04
0.1500,3.3101,0.11317527,5.40546355e-04
0.1500,3.3742,0.11424794,5.43916191e-04
0.1500,3.4382,0.11541083,5.47268130e-04
0.1500,3.5022,0.11666180,5.50601863e-04
0.1500,3.5663,0.11799882,5.53917084e-04
0.1500,3.6303,0.11941996,5.57213485e-04
0.1500,3.6944,0.12092344,5.60490762e-04
0.1500,3.7584,0.12250762,5.63748614e-04
0.1500,3.8225,0.12417101,5.66986738e-04
0.1500,3.8865,0.12591232,5.70204838e-04
0.1500,3.9506,0.12773044,5.73402615e-04
0.1500,4.0146,0.12962445,5.76579775e-04
0.1500,4.0787,0.13159366,5.79736023e-04
0.1500,4.1427,0.13363757,5.82871070e-04
0.1500,4.2067,0.13575591,5.85984625e-04
0.1500,4.2708,0.13794863,5.89076402e-04
0.1500,4.3348,0.14021592,5.92146114e-04
0.1500,4.3989,0.14255815,5.95193479e-04
0.1500,4.4629,0.14497594,5.98218216e-04
0.1500,4.5270,0.14747011,6.01220045e-04
0.1500,4.5910,0.15004169,6.04198689e-04
0.1500,4.6551,0.15269189,6.07153873e-04
0.1500,4.7191,0.15542212,6.10085325e-04
0.1500,4.7831,0.15823394,6.12992774e-04
0.1500,4.8472,0.16112909,6.15875951e-04
0.1500,4.9112,0.16410942,6.18734592e-04
0.1500,4.9753,0.16717694,6.21568431e-04
0.1500,5.0393,0.17033372,6.24377207e-04
0.1500,5.1034,0.17358194,6.27160662e-04
0.1500,5.1674,0.17692385,6.29918537e-04
0.1500,5.2315,0.18036173,6.32650579e-04
0.1500,5.2955,0.18389789,6.35356536e-04
0.1500,5.3596,0.18753464,6.38036158e-04
0.1500,5.4236,0.19127427,6.40689197e-04
0.1500,5.4876,0.19511902,6.43315409e-04
0.1500,5.5517,0.19907109,6.45914551e-04
0.1500,5.6157,0.20313257,6.48486383e-04
0.1500,5.6798,0.20730547,6.51030669e-04
0.1500,5.7438,0.21159168,6.53547172e-04
0.1500,5.8079,0.21599295,6.56035662e-04
0.1500,5.8719,0.22051086,6.58495908e-04
0.1500,5.9360,0.22514684,6.60927684e-04
0.1500,6.0000,0.22990214,6.63330764e-04
0.1588,0.3000,0.18625375,3.69042799e-04
0.1588,0.3640,0.18233409,3.73103988e-04
0.1588,0.4281,0.17849119,3.77162788e-04
0.1588,0.4921,0.17472643,3.81218781e-04
0.1588,0.5562,0.17104134,3.85271546e-04
0.1588,0.6202,0.16743765,3.89320665e-04
0.1588,0.6843,0.16391725,3.93365720e-04
0.1588,0.7483,0.16048215,3.97406292e-04
0.1588,0.8124,0.15713450,4.01441964e-04
0.1588,0.8764,0.15387654,4.05472318e-04
0.1588,0.9404,0.15071060,4.09496938e-04
0.1588,1.0045,0.14763905,4.13515408e-04
0.1588,1.0685,0.14466432,4.17527312e-04
0.1588,1.1326,0.14178885,4.21532236e-04
0.1588,1.1966,0.13901505,4.25529766e-04
0.1588,1.2607,0.13634534,4.29519488e-04
0.1588,1.3247,0.13378205,4.33500990e-04
0.1588,1.3888,0.13132747,4.37473861e-04
0.1588,1.4528,0.12898376,4.41437690e-04
0.1588,1.5169,0.12675299,4.45392066e-04
0.1588,1.5809,0.12463709,4.49336583e-04
0.1588,1.6449,0.12263784,4.53270830e-04
0.1588,1.7090,0.12075685,4.57194403e-04
0.1588,1.7730,0.11899555,4.61106895e-04
0.1588,1.8371,0.11735517,4.65007902e-04
0.1588,1.9011,0.11583672,4.68897020e-04
0.1588,1.9652,0.11444103,4.72773849e-04
0.1588,2.0292,0.11316867,4.76637986e-04
0.1588,2.0933,0.11202000,4.80489032e-04
0.1588,2.1573,0.11099514,4.84326590e-04
0.1588,2.2213,0.11009397,4.88150263e-04
0.1588,2.2854,0.10931615,4.91959655e-04
0.1588,2.3494,0.10866111,4.95754373e-04
0.1588,2.4135,0.10812804,4.99534024e-04
0.1588,2.4775,0.10771593,5.03298218e-04
0.1588,2.5416,0.10742356,5.07046565e-04
0.1588,2.6056,0.10724950,5.10778679e-04
0.1588,2.6697,0.10719214,5.14494173e-04
0.1588,2.7337,0.10724972,5.18192663e-04
0.1588,2.7978,0.10742032,5.21873767e-04
0.1588,2.8618,0.10770186,5.25537105e-04
0.1588,2.9258,0.10809219,5.29182297e-04
0.1588,2.9899,0.10858902,5.32808968e-04
